trade_id,side,entry_id,level_snapshot,trend_mode_at_entry,exit_reason,horizon_bars,horizon_minutes,available,close_at_h,close_ret_pct_at_h,profitable_at_h,adverse_at_h,flat_at_h,max_favorable_pct_to_h,max_adverse_pct_to_h,min_close_ret_pct_to_h,max_close_ret_pct_to_h,ended_profit,ended_loss,pnl_abs,pnl_pct
1,short,Short1,1,0,MFEProtect S1,1,15,True,46382.98,-0.25386070363833113,False,True,False,0.2473331657499661,0.3485964604749991,-0.25386070363833113,-0.25386070363833113,True,False,5.269330759208362,0.3002577881125123
1,short,Short1,1,0,MFEProtect S1,2,30,True,46291.2,-0.05548407205104855,False,True,False,0.2473331657499661,0.7207093488391948,-0.25386070363833113,-0.05548407205104855,True,False,5.269330759208362,0.3002577881125123
1,short,Short1,1,0,MFEProtect S1,4,60,True,46291.33,-0.05576505878135407,False,True,False,0.47949304806406956,0.865590429851341,-0.565864046083564,-0.05548407205104855,True,False,5.269330759208362,0.3002577881125123
1,short,Short1,1,0,MFEProtect S1,8,120,True,45548.56,1.5496850462968892,True,False,False,3.1676498680551135,0.865590429851341,-0.565864046083564,1.5496850462968892,True,False,5.269330759208362,0.3002577881125123
1,short,Short1,1,0,MFEProtect S1,12,180,False,,,,,,,,,,True,False,5.269330759208362,0.3002577881125123
1,short,Short1,1,0,MFEProtect S1,24,360,False,,,,,,,,,,True,False,5.269330759208362,0.3002577881125123
1,short,Short1,1,0,MFEProtect S1,48,720,False,,,,,,,,,,True,False,5.269330759208362,0.3002577881125123
1,short,Short1,1,0,MFEProtect S1,96,1440,False,,,,,,,,,,True,False,5.269330759208362,0.3002577881125123
1,short,Short1,1,0,MFEProtect S1,192,2880,False,,,,,,,,,,True,False,5.269330759208362,0.3002577881125123
2,short,Short1,1,0,MFEProtect S1,1,15,True,47060.0,-0.1703705154282753,False,True,False,0.11679448002936278,0.23380181677464984,-0.1703705154282753,-0.1703705154282753,True,False,0.4134189871945701,0.0566732725141072
2,short,Short1,1,0,MFEProtect S1,2,30,True,47016.52,-0.07782041534305506,False,True,False,0.11679448002936278,0.4190723023178338,-0.1703705154282753,-0.07782041534305506,True,False,0.4134189871945701,0.0566732725141072
2,short,Short1,1,0,MFEProtect S1,4,60,True,47287.43,-0.6544705444619492,False,True,False,0.11679448002936278,0.7523420624453584,-0.6544705444619492,-0.07782041534305506,True,False,0.4134189871945701,0.0566732725141072
2,short,Short1,1,0,MFEProtect S1,8,120,True,47038.12,-0.12379746598336627,False,True,False,0.46211193027835384,1.0321635012034993,-0.9997241376961563,-0.07782041534305506,True,False,0.4134189871945701,0.0566732725141072
2,short,Short1,1,0,MFEProtect S1,12,180,True,48524.1,-3.28680569332116,False,True,False,0.46211193027835384,3.341935582746347,-3.28680569332116,-0.07782041534305506,True,False,0.4134189871945701,0.0566732725141072
2,short,Short1,1,0,MFEProtect S1,24,360,True,46183.3,1.695744313107117,True,False,False,2.924438420126372,4.234826934718557,-3.3871037778661517,2.4605384934342167,True,False,0.4134189871945701,0.0566732725141072
2,short,Short1,1,0,MFEProtect S1,48,720,False,,,,,,,,,,True,False,0.4134189871945701,0.0566732725141072
2,short,Short1,1,0,MFEProtect S1,96,1440,False,,,,,,,,,,True,False,0.4134189871945701,0.0566732725141072
2,short,Short1,1,0,MFEProtect S1,192,2880,False,,,,,,,,,,True,False,0.4134189871945701,0.0566732725141072
3,long,Long1,1,0,Breakout Flip Down,1,15,True,45172.15,-0.5939432750063034,False,True,False,0.03791642322473551,0.6301212203234753,-0.5939432750063034,-0.5939432750063034,False,True,-139.01835579494812,-6.914454783620005
3,long,Long1,1,0,Breakout Flip Down,2,30,True,44941.55,-1.1014027756230171,False,True,False,0.03791642322473551,1.740568482275787,-1.1014027756230171,-0.5939432750063034,False,True,-139.01835579494812,-6.914454783620005
3,long,Long1,1,0,Breakout Flip Down,4,60,True,44462.01,-2.1566808715715924,False,True,False,0.03791642322473551,2.4396126495173536,-2.1566808715715924,-0.5939432750063034,False,True,-139.01835579494812,-6.914454783620005
3,long,Long1,1,0,Breakout Flip Down,8,120,True,43624.0,-4.000809822620244,False,True,False,0.03791642322473551,4.907459060495737,-4.116429606498839,-0.5939432750063034,False,True,-139.01835579494812,-6.914454783620005
3,long,Long1,1,0,Breakout Flip Down,12,180,True,43803.99,-3.604722938335758,False,True,False,0.03791642322473551,4.907459060495737,-4.377795455970846,-0.5939432750063034,False,True,-139.01835579494812,-6.914454783620005
3,long,Long1,1,0,Breakout Flip Down,24,360,True,43653.38,-3.9361560492979675,False,True,False,0.03791642322473551,4.907459060495737,-4.642528231010711,-0.5939432750063034,False,True,-139.01835579494812,-6.914454783620005
3,long,Long1,1,0,Breakout Flip Down,48,720,False,,,,,,,,,,False,True,-139.01835579494812,-6.914454783620005
3,long,Long1,1,0,Breakout Flip Down,96,1440,False,,,,,,,,,,False,True,-139.01835579494812,-6.914454783620005
3,long,Long1,1,0,Breakout Flip Down,192,2880,False,,,,,,,,,,False,True,-139.01835579494812,-6.914454783620005
4,long,Long2,2,0,Breakout Flip Down,1,15,True,43915.16,0.20337228811280195,True,False,False,0.3538308169825095,0.19378894232491578,0.20337228811280195,0.20337228811280195,False,True,-139.72105465189065,-3.482063057046225
4,long,Long2,2,0,Breakout Flip Down,2,30,True,43653.38,-0.3939439643517839,False,True,False,0.3538308169825095,0.45055415697018214,-0.3939439643517839,0.20337228811280195,False,True,-139.72105465189065,-3.482063057046225
4,long,Long2,2,0,Breakout Flip Down,4,60,True,43628.01,-0.45183193640856434,False,True,False,0.3538308169825095,0.50730125452842,-0.45183193640856434,0.20337228811280195,False,True,-139.72105465189065,-3.482063057046225
4,long,Long2,2,0,Breakout Flip Down,8,120,True,41904.01,-4.38556720743356,False,True,False,0.3538308169825095,5.307416619757708,-4.38556720743356,0.20337228811280195,False,True,-139.72105465189065,-3.482063057046225
4,long,Long2,2,0,Breakout Flip Down,12,180,False,,,,,,,,,,False,True,-139.72105465189065,-3.482063057046225
4,long,Long2,2,0,Breakout Flip Down,24,360,False,,,,,,,,,,False,True,-139.72105465189065,-3.482063057046225
4,long,Long2,2,0,Breakout Flip Down,48,720,False,,,,,,,,,,False,True,-139.72105465189065,-3.482063057046225
4,long,Long2,2,0,Breakout Flip Down,96,1440,False,,,,,,,,,,False,True,-139.72105465189065,-3.482063057046225
4,long,Long2,2,0,Breakout Flip Down,192,2880,False,,,,,,,,,,False,True,-139.72105465189065,-3.482063057046225
5,short,TrendShort,0,-1,Breakout Stop,1,15,True,42510.0,-0.49650141678552195,False,True,False,0.23635944981535026,0.6233809093999454,-0.49650141678552195,-0.49650141678552195,False,True,-157.57555674162032,-1.5593197303608308
5,short,TrendShort,0,-1,Breakout Stop,2,30,True,42822.01,-1.234114058682767,False,True,False,0.23635944981535026,1.4508281091385788,-1.234114058682767,-0.49650141678552195,False,True,-157.57555674162032,-1.5593197303608308
5,short,TrendShort,0,-1,Breakout Stop,4,60,True,42746.63,-1.0559106647331618,False,True,False,0.23635944981535026,1.5556035723893882,-1.5036177322069522,-0.49650141678552195,False,True,-157.57555674162032,-1.5593197303608308
5,short,TrendShort,0,-1,Breakout Stop,8,120,True,42900.43,-1.4195042172596706,False,True,False,0.23635944981535026,1.648487777062773,-1.5824357363762198,-0.49650141678552195,False,True,-157.57555674162032,-1.5593197303608308
5,short,TrendShort,0,-1,Breakout Stop,12,180,True,42823.35,-1.2372819088803277,False,True,False,0.23635944981535026,1.648487777062773,-1.5824357363762198,-0.49650141678552195,False,True,-157.57555674162032,-1.5593197303608308
5,short,TrendShort,0,-1,Breakout Stop,24,360,True,42839.92,-1.2764545042337927,False,True,False,0.23635944981535026,1.648487777062773,-1.5824357363762198,-0.3676124669562464,False,True,-157.57555674162032,-1.5593197303608308
5,short,TrendShort,0,-1,Breakout Stop,48,720,True,42750.73,-1.0656033407107968,False,True,False,0.23635944981535026,2.2576370012467994,-2.240639357276275,-0.3676124669562464,False,True,-157.57555674162032,-1.5593197303608308
5,short,TrendShort,0,-1,Breakout Stop,96,1440,False,,,,,,,,,,False,True,-157.57555674162032,-1.5593197303608308
5,short,TrendShort,0,-1,Breakout Stop,192,2880,False,,,,,,,,,,False,True,-157.57555674162032,-1.5593197303608308
6,long,Long1,1,0,MFEProtect L1,1,15,True,42675.01,0.223038775914719,True,False,False,0.3034755251521632,0.008877398893939122,0.223038775914719,0.223038775914719,True,False,1.450115313034633,0.1877170617970325
6,long,Long1,1,0,MFEProtect L1,2,30,True,42739.99,0.37564549023438865,True,False,False,0.39570183588366276,0.008877398893939122,0.223038775914719,0.37564549023438865,True,False,1.450115313034633,0.1877170617970325
6,long,Long1,1,0,MFEProtect L1,4,60,True,42749.99,0.3991306724934862,True,False,False,0.55220709045834,0.008877398893939122,0.223038775914719,0.4414744561066497,True,False,1.450115313034633,0.1877170617970325
6,long,Long1,1,0,MFEProtect L1,8,120,True,42998.99,0.9839117107452111,True,False,False,0.9839351959274795,0.008877398893939122,0.223038775914719,0.9839117107452111,True,False,1.450115313034633,0.1877170617970325
6,long,Long1,1,0,MFEProtect L1,12,180,True,43011.44,1.0131507626578218,True,False,False,1.1271948077080227,0.008877398893939122,0.223038775914719,1.1046725179215455,True,False,1.450115313034633,0.1877170617970325
6,long,Long1,1,0,MFEProtect L1,24,360,True,42889.04,0.7256921318063547,True,False,False,1.171816654000323,0.008877398893939122,0.223038775914719,1.109369554373374,True,False,1.450115313034633,0.1877170617970325
6,long,Long1,1,0,MFEProtect L1,48,720,True,42929.95,0.8217700124283578,True,False,False,1.171816654000323,0.008877398893939122,0.223038775914719,1.109369554373374,True,False,1.450115313034633,0.1877170617970325
6,long,Long1,1,0,MFEProtect L1,96,1440,False,,,,,,,,,,True,False,1.450115313034633,0.1877170617970325
6,long,Long1,1,0,MFEProtect L1,192,2880,False,,,,,,,,,,True,False,1.450115313034633,0.1877170617970325
7,long,Long1,1,0,Exit L1,1,15,True,42170.0,0.29651331075293275,True,False,False,0.31554039414127144,0.03960011730197255,0.29651331075293275,0.29651331075293275,True,False,2.522335617083272,0.2998570828198987
7,long,Long1,1,0,Exit L1,2,30,True,42349.28,0.7229102494854978,True,False,False,0.7339935255592014,0.03960011730197255,0.29651331075293275,0.7229102494854978,True,False,2.522335617083272,0.2998570828198987
7,long,Long1,1,0,Exit L1,4,60,True,42198.0,0.3631081026121086,True,False,False,0.7339935255592014,0.03960011730197255,0.29651331075293275,0.7229102494854978,True,False,2.522335617083272,0.2998570828198987
7,long,Long1,1,0,Exit L1,8,120,True,42329.98,0.6770074108111368,True,False,False,0.8405214086796355,0.03960011730197255,0.29651331075293275,0.7627719891840634,True,False,2.522335617083272,0.2998570828198987
7,long,Long1,1,0,Exit L1,12,180,True,42436.01,0.9291876172692559,True,False,False,1.0364290160167533,0.03960011730197255,0.29651331075293275,0.9291876172692559,True,False,2.522335617083272,0.2998570828198987
7,long,Long1,1,0,Exit L1,24,360,True,42738.48,1.6485778563279263,True,False,False,1.8535946798372103,0.03960011730197255,0.29651331075293275,1.773728497314675,True,False,2.522335617083272,0.2998570828198987
7,long,Long1,1,0,Exit L1,48,720,True,42689.42,1.5318942674489522,True,False,False,1.8535946798372103,0.03960011730197255,0.29651331075293275,1.773728497314675,True,False,2.522335617083272,0.2998570828198987
7,long,Long1,1,0,Exit L1,96,1440,True,42572.01,1.252648034870929,True,False,False,3.2229500874413364,0.03960011730197255,0.29651331075293275,3.1077648813792047,True,False,2.522335617083272,0.2998570828198987
7,long,Long1,1,0,Exit L1,192,2880,False,,,,,,,,,,True,False,2.522335617083272,0.2998570828198987
8,long,Long2,2,0,Exit L2,1,15,True,42170.0,0.29651331075293275,True,False,False,0.31554039414127144,0.03960011730197255,0.29651331075293275,0.29651331075293275,True,False,10.088978531854202,0.2998570828198987
8,long,Long2,2,0,Exit L2,2,30,True,42349.28,0.7229102494854978,True,False,False,0.7339935255592014,0.03960011730197255,0.29651331075293275,0.7229102494854978,True,False,10.088978531854202,0.2998570828198987
8,long,Long2,2,0,Exit L2,4,60,True,42198.0,0.3631081026121086,True,False,False,0.7339935255592014,0.03960011730197255,0.29651331075293275,0.7229102494854978,True,False,10.088978531854202,0.2998570828198987
8,long,Long2,2,0,Exit L2,8,120,True,42329.98,0.6770074108111368,True,False,False,0.8405214086796355,0.03960011730197255,0.29651331075293275,0.7627719891840634,True,False,10.088978531854202,0.2998570828198987
8,long,Long2,2,0,Exit L2,12,180,True,42436.01,0.9291876172692559,True,False,False,1.0364290160167533,0.03960011730197255,0.29651331075293275,0.9291876172692559,True,False,10.088978531854202,0.2998570828198987
8,long,Long2,2,0,Exit L2,24,360,True,42738.48,1.6485778563279263,True,False,False,1.8535946798372103,0.03960011730197255,0.29651331075293275,1.773728497314675,True,False,10.088978531854202,0.2998570828198987
