side,metric,count,q10,q25,q50,q75,q90,mean
long,pnl_abs,361,-48.308199952478176,-9.3017821989665,2.522335617083272,7.074094733196918,63.26101804901301,22.66149103979785
long,pnl_pct,361,-2.412814516017425,-0.359672913628084,0.1874515999183312,0.2997799067361306,3.498484073413266,0.25922506656712624
long,bars_held,361,4.0,17.0,48.0,96.0,165.0,75.99445983379502
long,underwater_minutes,361,0.0,15.0,60.0,435.0,1155.0,306.56509695290856
long,max_adverse_pct_path,361,0.0880094799196874,0.29620258539616434,0.708985068557705,1.878446586409628,3.570206367814325,1.3851119937561276
long,max_favorable_pct_path,361,0.29665252470439896,0.7625346948438322,1.0814109613112424,2.298817343476464,4.462772137673568,1.8802680304761898
short,pnl_abs,393,-52.10170379230107,-12.125881215509365,1.7793021227191608,6.143458321424382,54.494198063331005,7.58788493990358
short,pnl_pct,393,-2.0525162821676464,-0.5357800085633802,0.1419449436938169,0.2853722704271977,3.5859967983622503,0.12732474433336716
short,bars_held,393,5.0,14.0,53.0,96.0,131.0,65.86005089058524
short,underwater_minutes,393,0.0,15.0,105.0,705.0,1350.0,394.35114503816794
short,max_adverse_pct_path,393,0.09034719334498703,0.2744946659554938,0.7913371615452345,1.8550268163321861,3.0297543115769123,1.2246018677225416
short,max_favorable_pct_path,393,0.22771302288743572,0.536891673392879,0.9922555516683671,2.0506284741494065,3.8517873709042343,1.5538304718931473
