month,start_equity,end_equity,min_drawdown,realized_end,return_pct
2024-01,10000.0,9801.881597901818,-0.054816650848300896,9801.881597901818,-1.9811840209818188
2024-02,9801.881597901818,9376.166493545616,-0.10572141033776028,9294.129176762191,-4.343197784059449
2024-03,9362.064821684551,8410.393039519839,-0.179317602740395,8410.393039519839,-10.165191122800564
2024-04,8410.393039519839,9468.618180351072,-0.19089512257351182,9478.26721424703,12.5823506209366
2024-05,9467.53491729296,9477.364740805924,-0.0706326271349107,9462.112132392098,0.10382664124120033
2024-06,9478.681057549604,9187.555935121372,-0.0944809223075479,9187.555935121372,-3.0713674261289237
2024-07,9187.555935121372,9669.036844044938,-0.11596205294164097,9673.981683602358,5.2405766269460585
2024-08,9669.513263095752,11738.003251014226,-0.09881599728583734,11725.28328689723,21.391872906498644
2024-09,11739.292170396768,11548.388948738468,-0.03871400831581495,11588.04763914704,-1.6261902241406445
2024-10,11544.080395574363,11948.581003619074,-0.04479523177833322,11945.237500332283,3.5039656186020895
2024-11,11954.366697283827,12458.749811358412,-0.044410355152300296,12458.749811358412,4.219237428856748
2024-12,12458.749811358412,12370.368954207315,-0.04264139746182194,12343.821433961866,-0.7093878478121596
2025-01,12372.50719924818,12430.12642289878,-0.0651896547614178,12430.12642289878,0.46570369871437034
2025-02,12430.12642289878,11679.15269298831,-0.09434891662748057,11679.15269298831,-6.041561480235846
2025-03,11679.15269298831,12864.282223718586,-0.11721371952275716,12864.282223718586,10.147393067664744
2025-04,12864.282223718586,12448.393881418937,-0.09748762236777264,12448.393881418937,-3.2328919333940997
2025-05,12448.393881418937,12260.788772575008,-0.11373627715623935,12260.788772575008,-1.5070627635261236
2025-06,12260.788772575008,13184.810072145156,-0.11625789463702974,12770.8498398895,7.536393593510082
2025-07,13194.512904219877,14001.067107788567,-0.05044199039129926,14001.067107788567,6.112800142176811
2025-08,14001.067107788567,14071.293817670748,-0.015114742411572513,14071.293817670748,0.5015811247923718
2025-09,14071.293817670748,14011.228093825126,-0.00944795943786958,14011.228093825126,-0.42686709995488625
2025-10,14011.228093825126,13939.829385018593,-0.05033720471405079,13790.197989156435,-0.5095820889390756
2025-11,13931.049670414515,14486.818505762383,-0.05122245046371299,14486.818505762383,3.989425409401548
2025-12,14486.818505762383,14715.874500798627,-0.02645861121262083,14715.874500798627,1.5811338766005267
2026-01,14715.874500798627,14484.19006872087,-0.046366878970399594,14263.155006686164,-1.5743843973742955
2026-02,14594.043084528155,19487.7937533863,-0.07225587143432022,19487.7937533863,33.53252173173482
2026-03,19487.7937533863,19515.815517936942,-0.02749855740866769,19515.815517936942,0.14379136450872743
2026-04,19515.815517936942,20364.36989890741,-0.02094118174200854,20364.36989890741,4.348034445143045
2026-05,20364.36989890741,20332.67289382632,-0.0032950573897080337,20332.67289382632,-0.15564932889375882
