threshold_type,threshold_pct,sample_count,hit_count,hit_rate,avg_hit_minutes,median_hit_minutes,win_rate_after_hit,loss_rate_after_hit
adverse_pct,0.25,754,586,0.7771883289124668,62.329351535836174,30.0,0.5170648464163823,0.48293515358361777
adverse_pct,0.5,754,468,0.6206896551724138,121.28205128205128,60.0,0.43803418803418803,0.561965811965812
adverse_pct,1.0,754,312,0.41379310344827586,227.83653846153845,135.0,0.32051282051282054,0.6794871794871795
adverse_pct,2.0,754,170,0.22546419098143236,476.11764705882354,382.5,0.16470588235294117,0.8352941176470589
adverse_pct,3.0,754,90,0.11936339522546419,668.0,607.5,0.1,0.9
favorable_pct,0.25,754,682,0.9045092838196287,96.84017595307918,30.0,0.6656891495601173,0.3343108504398827
favorable_pct,0.5,754,590,0.7824933687002652,186.864406779661,75.0,0.7542372881355932,0.2457627118644068
favorable_pct,1.0,754,388,0.5145888594164456,337.77061855670104,195.0,0.8067010309278351,0.19329896907216496
favorable_pct,2.0,754,200,0.26525198938992045,572.775,390.0,0.86,0.14
favorable_pct,3.0,754,132,0.17506631299734748,934.5454545454545,735.0,0.9242424242424242,0.07575757575757576
