group,trade_count,win_rate,loss_rate,avg_pnl_abs,median_pnl_abs,avg_pnl_pct,median_pnl_pct,avg_bars_held,median_bars_held,avg_hold_hours,avg_underwater_hours,median_underwater_hours,avg_underwater_ratio,avg_max_consecutive_underwater_hours,avg_max_adverse_pct,median_max_adverse_pct,avg_max_favorable_pct,median_max_favorable_pct,first_move_adverse_rate,first_move_favorable_rate,material_adverse_0p5_rate,material_favorable_0p5_rate,avg_minutes_to_max_adverse,avg_minutes_to_max_favorable,side,entry_id,level_snapshot,exit_reason
overall,754,0.6021220159151194,0.3978779840848806,14.804823669428554,2.270626176111429,0.1904759596203526,0.1696446432682519,70.71220159151194,51.0,17.678050397877985,5.872015915119364,1.5,0.3966060529836783,4.7019230769230775,1.3014508803195237,0.7479271368334524,1.7101221942386093,1.0375903602671839,0.058355437665782495,0.0,0.6206896551724138,0.7824933687002652,312.67241379310343,656.8965517241379,,,,
,361,0.628808864265928,0.37119113573407203,22.66149103979785,2.522335617083272,0.25922506656712624,0.1874515999183312,75.99445983379502,48.0,18.99861495844875,5.109418282548476,1.0,0.3576761377502186,4.109418282548477,1.3851119937561276,0.708985068557705,1.8802680304761898,1.0814109613112424,0.036011080332409975,0.0,0.6232686980609419,0.8116343490304709,296.6343490304709,763.6288088642659,long,,,
,393,0.5776081424936387,0.4223918575063613,7.58788493990358,1.7793021227191608,0.12732474433336716,0.1419449436938169,65.86005089058524,53.0,16.46501272264631,6.572519083969466,1.75,0.43236610234571116,5.24618320610687,1.2246018677225416,0.7913371615452345,1.5538304718931473,0.9922555516683671,0.07888040712468193,0.0,0.6183206106870229,0.7557251908396947,327.40458015267177,558.8549618320611,short,,,
,266,0.6203007518796992,0.37969924812030076,-0.5357105520172606,2.148094466727688,-0.02908353415215284,0.17883661584281446,68.21428571428571,54.0,17.053571428571427,5.818609022556391,1.25,0.3883450913525478,4.709586466165414,1.3970771441080454,0.7105810815831226,1.550145981778188,1.012739330407023,0.03007518796992481,0.0,0.6203007518796992,0.7969924812030075,319.5676691729323,636.5413533834586,,Long1,,
,60,0.6,0.4,43.216464640459215,6.747940628821988,0.8786454074683367,0.18906172051396106,122.08333333333333,45.0,30.520833333333332,3.4583333333333335,1.0,0.2840493826206769,2.7,1.3248263333928618,0.8130173632868385,2.8290579678633048,1.31630244216752,0.05,0.0,0.6166666666666667,0.8666666666666667,269.75,1437.75,,Long2,,
,13,0.6923076923076923,0.3076923076923077,35.00183737002943,7.503093626169797,0.31374997164619833,0.2112785245634629,36.69230769230769,12.0,9.173076923076923,1.5961538461538463,0.75,0.294994218866898,1.2692307692307694,0.9937714182446407,0.668970811689448,1.8745832202874197,1.220918803058225,0.07692307692307693,0.0,0.6923076923076923,0.8461538461538461,156.92307692307693,360.0,,Long3,,
,8,0.75,0.25,591.3075869330082,474.2707511620349,4.95806570200471,4.454555631855039,161.75,164.0,40.4375,5.0625,4.625,0.12612857819261702,3.125,2.894521004828925,2.4316555107998887,7.072263051043722,5.291137602091329,0.125,0.0,0.75,1.0,320.625,1768.125,,RevLong,,
,8,0.625,0.375,177.21787455258425,18.112505262425074,1.6302851401948841,0.21050587616812105,151.75,136.0,37.9375,16.25,18.75,0.4710232337638005,11.96875,2.729459163738326,2.9574355257732203,4.203314863921231,3.4335705794182645,0.0,0.0,1.0,1.0,583.125,946.875,,RevShort,,
,294,0.5884353741496599,0.41156462585034015,0.6234551086346919,1.665515761897363,0.07384900443443503,0.16185997517590422,67.79931972789116,57.0,16.94982993197279,6.756802721088436,1.5,0.4278425497591155,5.500850340136054,1.191121317896149,0.728864410720675,1.4401101369261944,0.9814271905470106,0.08843537414965986,0.0,0.5918367346938775,0.7517006802721088,335.0,576.9897959183673,,Short1,,
,62,0.5483870967741935,0.45161290322580644,1.2459427889220565,2.5163031814378023,0.014563107771492672,0.08302643784074965,61.83870967741935,47.0,15.45967741935484,6.39516129032258,3.125,0.45951007079273376,4.588709677419355,1.2325641894786816,0.9500537622561822,1.4041615674608412,0.8698341557039839,0.08064516129032258,0.0,0.6612903225806451,0.7741935483870968,312.8225806451613,552.5806451612904,,Short2,,
